"logFC","logCPM","F","PValue","FDR"
6.83550023122851,5.48326468552291,14943.5432295397,8.53761123673242e-39,1.24948906767547e-34
-1.86553999091659,8.59933994633319,14467.6466367619,1.30175451130434e-38,1.24948906767547e-34
-2.54990785193713,6.4275272429376,8760.80638506712,1.1718985965378e-35,7.4989791192454e-32
-3.8620043590597,5.12620117804791,7555.26623558217,8.71311699185435e-35,4.1816426723157e-31
-3.3128670443085,5.53467777758325,6460.02624171014,7.26450130484906e-34,2.78913263098375e-30
-2.72825202997476,5.68552017878805,5628.8524226079,4.68455879026912e-33,1.4988245849466e-29
-3.80856756906527,4.56218860891545,5137.54039978166,1.61208452665679e-32,4.26461797895258e-29
-1.64658477190342,6.61126682632823,5100.46423814805,1.7772018456853e-32,4.26461797895258e-29
-1.32318143951707,7.18810072865719,4955.60331081833,2.62388832629253e-32,5.31868010830612e-29
0.829042992843217,10.7141086992795,4935.70558681379,2.77057879267913e-32,5.31868010830612e-29
-1.60341239037814,7.03258222012637,4851.22034961949,3.49906634401402e-32,6.1065069641852e-29
-3.2440474876981,4.87950627968991,4482.94382947093,1.0175746881114e-31,1.62786510730621e-28
3.21358831092582,4.59815083540791,4360.25499306637,1.48050281791231e-31,2.1862471227279e-28
-1.79923884585703,5.89181769224619,3726.16603793403,1.23592526854316e-30,1.69471838430164e-27
-0.897155053796947,8.82946635210532,3546.82589965136,2.40489626098793e-30,2.9846687423444e-27
-1.24388603067294,7.20804387767004,3537.94819591886,2.48761264142889e-30,2.9846687423444e-27
-5.22597759768144,3.72965038776847,3395.69173614295,4.39842685011365e-30,4.96685883774305e-27
1.06498188566044,7.69486261533612,3134.15072272564,1.27529963554506e-29,1.36010706130881e-26
-2.84976053006376,4.83373793103319,2899.17556807488,3.64589210836605e-29,3.68369425285806e-26
-2.9106617801276,4.50326839301089,2847.95731796192,4.63562023806487e-29,4.44950008550656e-26
-1.83273423400787,5.5794693672787,2790.11822114045,6.10932499142697e-29,4.95328714491037e-26
-1.10740189798326,7.37352846783672,2789.28924894931,6.13372365499213e-29,4.95328714491037e-26
-0.905886142426628,9.03122409949301,2786.00099400967,6.23192944638839e-29,4.95328714491037e-26
1.32106764288634,6.52546414947005,2785.71205971033,6.24065686465511e-29,4.95328714491037e-26
1.41379554515425,6.67007646374671,2778.8755721748,6.45060054293688e-29,4.95328714491037e-26
