"gene_name","logFC","logCPM","F","PValue","FDR"
"ANGPTL7",6.83550023122851,5.48326468552291,14943.5432295397,8.53761123673242e-39,1.24948906767547e-34
"SCGN",-1.86553999091659,8.59933994633319,14467.6466367619,1.30175451130434e-38,1.24948906767547e-34
"IGFBPL1",-2.54990785193713,6.4275272429376,8760.80638506712,1.1718985965378e-35,7.4989791192454e-32
"A2M",-3.8620043590597,5.12620117804791,7555.26623558217,8.71311699185435e-35,4.1816426723157e-31
"COL3A1",-3.3128670443085,5.53467777758325,6460.02624171014,7.26450130484906e-34,2.78913263098375e-30
"EPHA7",-2.72825202997476,5.68552017878805,5628.8524226079,4.68455879026912e-33,1.4988245849466e-29
"LPL",-3.80856756906527,4.56218860891545,5137.54039978166,1.61208452665679e-32,4.26461797895258e-29
"TIMP3",-1.64658477190342,6.61126682632823,5100.46423814805,1.7772018456853e-32,4.26461797895258e-29
"CCN2",-1.32318143951707,7.18810072865719,4955.60331081833,2.62388832629253e-32,5.31868010830612e-29
"PLP1",-1.60341239037814,7.03258222012637,4851.22034961949,3.49906634401402e-32,6.1065069641852e-29
"LUM",-3.2440474876981,4.87950627968991,4482.94382947093,1.0175746881114e-31,1.62786510730621e-28
"PI15",3.21358831092582,4.59815083540791,4360.25499306637,1.48050281791231e-31,2.1862471227279e-28
"NEFL",-1.79923884585703,5.89181769224619,3726.16603793403,1.23592526854316e-30,1.69471838430164e-27
"TGFBI",-1.24388603067294,7.20804387767004,3537.94819591886,2.48761264142889e-30,2.9846687423444e-27
"APLNR",-5.22597759768144,3.72965038776847,3395.69173614295,4.39842685011365e-30,4.96685883774305e-27
"NRCAM",1.06498188566044,7.69486261533612,3134.15072272564,1.27529963554506e-29,1.36010706130881e-26
"PTX3",-2.84976053006376,4.83373793103319,2899.17556807488,3.64589210836605e-29,3.68369425285806e-26
"WLS",-2.9106617801276,4.50326839301089,2847.95731796192,4.63562023806487e-29,4.44950008550656e-26
"PPM1H",-1.83273423400787,5.5794693672787,2790.11822114045,6.10932499142697e-29,4.95328714491037e-26
"CSRP1",-1.10740189798326,7.37352846783672,2789.28924894931,6.13372365499213e-29,4.95328714491037e-26
"TNC",1.32106764288634,6.52546414947005,2785.71205971033,6.24065686465511e-29,4.95328714491037e-26
"GAS5",1.41379554515425,6.67007646374671,2778.8755721748,6.45060054293688e-29,4.95328714491037e-26
"LIFR",-1.47888569014438,6.20914686372206,2669.7439170056,1.10626053494244e-28,8.16803211126538e-26
"F13A1",-4.10978794104055,4.00581641111253,2584.77926317543,1.71270053824267e-28,1.21773008269054e-25
"DCX",-1.47627076030344,6.04420295292018,2329.86493387084,6.90816315147433e-28,4.57296579375354e-25
"BGN",-2.34200946356641,4.81323004916912,2257.2448835235,1.05741729530685e-27,6.30049757439894e-25
"ANO1",2.39505737899855,4.30714562191845,2256.40688828011,1.06280352283289e-27,6.30049757439894e-25
"COL1A1",-2.63308447177169,5.04450227332117,2253.22225130213,1.08306724985761e-27,6.30049757439894e-25
"PCDHB5",-3.68985262200737,3.49096948478687,2229.41048284771,1.2516129985761e-27,7.06682786284274e-25
"PTPRZ1",-1.06323021061752,6.90113834086382,2187.67764525137,1.60999775751445e-27,8.68794272733222e-25
"MMP2",-1.88280980093132,5.39482848438954,2156.08753946155,1.95738204419737e-27,1.01556386763397e-24
"EN1",-1.53781362614487,5.59480939462853,2088.67038648393,2.99859505434499e-27,1.47600075021181e-24
"FEZF1",-1.3972375155652,5.64567060966255,2065.34817008867,3.4864107429213e-27,1.67321567579651e-24
"RALYL",-1.60461447961789,5.21924824189989,1987.93157179594,5.82149452886233e-27,2.72573732855049e-24
"NBPF9",1.16705556044708,6.48090732261416,1912.80295055541,9.75968868900806e-27,4.46087485149733e-24
"HTR1A",-1.74921802477643,4.59179609846631,1848.93128640786,1.53884805376275e-26,6.71392411092808e-24
"NOS2",2.92149637789104,3.42335713364282,1836.47426019216,1.6861598081268e-26,7.19315774146894e-24
"EGFLAM",-3.71582866562981,2.90452303583695,1811.08541999669,2.0400714214973e-26,8.29238856996633e-24
"TAF9B",-3.3030710256694,3.98592145226321,1808.29798972155,2.07342111454073e-26,8.29238856996633e-24
"SLC16A12",-2.79169510657152,3.77369919809146,1787.78060473731,2.41576163219281e-26,9.46436245983784e-24
"CDH11",-1.63514066321349,4.92908537188885,1742.78031950764,3.39778744052175e-26,1.2857844845385e-23
"SMOC1",-2.54786731018795,3.37599646074041,1742.13627372808,3.41589877123839e-26,1.2857844845385e-23
"EDNRB",1.40373742901216,5.19793729402827,1656.2018117157,6.72082103351337e-26,2.43433210151616e-23
"SEPTIN7P2",2.03006400139317,3.85775341108557,1645.78901656515,7.31443566963663e-26,2.60028188055582e-23
"LOX",-1.00454674387685,6.44490937901296,1632.3976102734,8.15713553462974e-26,2.84713692469613e-23
"SLITRK6",-1.87480360165307,4.7520097257495,1582.53919295274,1.23519303526651e-25,4.12779108246947e-23
"PAX7",-2.03889523103923,4.35201331861023,1581.41536141793,1.24713175383252e-25,4.12779108246947e-23
"LAMC3",-3.94075338501812,2.96019035333106,1546.15913981058,1.69577081207549e-25,5.51757835244292e-23
"ZIC3",1.50588174501395,4.69341678611921,1535.71846108303,1.84539253956744e-25,5.90433343034602e-23
"CES1",-1.75455416956678,4.55083730299306,1467.47917760815,3.38708006275922e-25,1.06593075352113e-22
"NPR1",-1.887510635417,4.50423911276258,1462.18031443509,3.55487725724959e-25,1.10069320495839e-22
"LRRC55",-3.91840906822673,2.48631950779287,1451.29269150847,3.97766992945672e-25,1.2120528513616e-22
"EDN3",1.5604291164786,5.01466263617903,1438.85121947819,4.40593565455718e-25,1.31184593446431e-22
"POSTN",-4.99024460393888,2.5230659851803,1443.16446955759,4.59234115317675e-25,1.33574504723536e-22
"FGF19",1.95400619305282,4.00285229850689,1411.70905506697,5.68212142633364e-25,1.62805500031831e-22
"BCHE",-1.35980506290666,5.55133164938669,1394.99730385749,6.65940129756101e-25,1.88000774572469e-22
"CROCCP2",2.07217701388595,4.12077694931066,1381.82210019091,7.5596186694296e-25,2.10321738546435e-22
"ACTA2",-2.38830188821463,3.49284925545004,1374.57479937453,8.11008004797137e-25,2.22413152401295e-22
"IGFBP7",-2.31006247704201,3.73506861467221,1365.91660711749,8.8221441775936e-25,2.35220419135089e-22
"NEFM",-1.41243410159005,5.14206217172726,1324.09901102112,1.33514907653696e-24,3.41744757630401e-22
"ADGRF5",-4.4795258238849,2.27630852937717,1319.69311148072,1.46403116701077e-24,3.65000081988386e-22
"UPF3B",1.08107018074875,5.66650035970786,1305.56115764401,1.6111307144005e-24,3.9150476359932e-22
"TXNIP",1.04214129297954,5.66436077309917,1293.41106608697,1.82488386747167e-24,4.32497476590785e-22
"CDH8",-1.1471630033984,5.4642951950069,1273.88146736993,2.23488166477898e-24,5.10796200582291e-22
"ABCA4",1.37084506344415,5.08240872557794,1262.65194947285,2.51460381593258e-24,5.61312202958811e-22
"GPR50",2.06949655658751,3.89662966553432,1254.48932879511,2.74203144235059e-24,5.91446939312407e-22
"TANC1",-1.23995588522135,5.269387494714,1225.20693883338,3.75417975004235e-24,7.90225971498046e-22
"GRPR",1.13217869220275,5.32659383327803,1222.14536819839,3.8812746655223e-24,8.01170212408943e-22
"NBPF8",1.03250263267901,5.45804288948151,1213.16659961538,4.28140345204377e-24,8.56987195877868e-22
"REC8",-1.07921226502559,5.53798620701222,1208.27343326187,4.51792187982352e-24,8.94129343577031e-22
"ACP6",1.29294338069667,5.12110832644951,1190.80843329531,5.48347977032412e-24,1.07414654235625e-21
"NR2F2",-3.12499086266063,2.3179266547752,1096.76005068582,1.64373792310058e-23,2.97687140658131e-21
"BAALC",-1.105937464734,5.46675824961822,1094.58134140987,1.67997032759425e-23,2.98614725729879e-21
"GBX2",-4.17125352470042,2.25049801205818,1052.96612595468,2.88379465744574e-23,5.03274600354417e-21
"ID3",-1.09998124147847,7.03855564029178,1043.07888648906,3.18417158373386e-23,5.39681074510231e-21
"CDKN2A",-5.53901471852698,1.61024200931999,1043.343188062,3.19684594014763e-23,5.39681074510231e-21
"CA12",1.32876347381065,4.68689034913948,1042.57171233714,3.20485713883244e-23,5.39681074510231e-21
"POU3F2",-2.29034247408107,3.19449154258083,1039.2753398399,3.34325352038679e-23,5.58090763746654e-21
"NKX2-1",1.86859209239041,3.43004336266645,1035.81727781629,3.49401841350886e-23,5.78229926587323e-21
"CHRNA9",1.42957362480148,4.10229084883106,1026.34919976444,3.94587052166447e-23,6.4742629405464e-21
"ALKAL2",-2.79000908954416,2.66301615925249,1015.3494182862,4.55867684461877e-23,7.41634910052088e-21
"EN2",-6.22726790799213,1.19957858170694,803.106410975461,5.14895042043693e-23,8.30625220345611e-21
"MAF",-1.40110507328452,4.66466557818877,1001.72802151168,5.44287866001175e-23,8.63528443274756e-21
"PCNX2",1.3409359162156,4.33415427455643,976.644690171775,7.61518807295083e-23,1.17894165674546e-20
"SLC1A1",-1.35735943482944,4.42364816942938,968.124048761168,8.55146332721201e-23,1.31329953193991e-20
"DMRTA1",-1.5844767435179,4.08448935155744,954.512760154277,1.03145439421232e-22,1.55912047288928e-20
"ANGPTL1",-2.51836592632022,2.92220328538944,940.967512152657,1.24709081111655e-22,1.87034392976596e-20
"EPHA3",-1.95114154742876,4.05781635222652,932.642589325835,1.4015184089432e-22,2.06961145357559e-20
"CLDN11",-2.1910739101953,3.2262504173685,930.067057364482,1.453872357406e-22,2.13053340802465e-20
