"gene_name","logFC","logCPM","F","PValue","FDR"
"GDF10",1.36464982296626,4.59860770943831,920.886032110135,1.65716719445236e-22,2.39192771668435e-20
"PCDHB15",1.13335990411784,4.95446164812949,910.477577625177,1.92572990101684e-22,2.73838791924595e-20
"L1CAM",-1.89824062802328,3.72499447985075,907.378735345406,2.01487242721204e-22,2.83591035205816e-20
"TCF21",-2.67910609992489,2.43495365883227,907.195107383122,2.0238564266915e-22,2.83591035205816e-20
"PURPL",1.86603272067661,3.44234859919594,897.329628588781,2.33417718063337e-22,3.24704343018977e-20
"TAFA2",-1.9199465402867,3.52525724521655,894.890179914288,2.41948632646868e-22,3.34150208699419e-20
"PCDHB16",1.22785729505935,4.75657140822647,872.130889408834,3.39904641562565e-22,4.57505902157992e-20
"AFF3",-1.93966282530631,3.45608610590122,871.583188399981,3.42792086288201e-22,4.57505902157992e-20
"LHX2",1.15194357831451,4.54489678395536,865.427468498132,3.76335476044736e-22,4.98242216112469e-20
"EPB41L3",-1.3929280813546,4.43170322115757,861.398078032755,4.00237547253738e-22,5.26257547577398e-20
"PLK2",-1.00963640288959,4.87066850279687,853.6803675493,4.5067288936028e-22,5.88542003880904e-20
"TBX2",-3.6596196396197,2.10351780291529,847.678281053992,5.01377620065136e-22,6.5033420083719e-20
"RP9P",1.35499898580361,4.25231078498815,839.137123803354,5.65301381754233e-22,7.23472708369068e-20
"HAS3",-1.97100476453391,3.68822837412905,832.92139704596,6.23570488270917e-22,7.92760441280582e-20
"ADAM12",-1.31152691809883,4.52562042644001,828.314807698339,6.70733814261104e-22,8.47110331077001e-20
"PDE1A",-5.91866236491928,1.28303114779575,735.459323057448,8.10806761571869e-22,9.97760089865075e-20
"L1TD1",-2.74979535701873,2.86733177568022,812.615951684466,8.63960315510804e-22,1.04971178334563e-19
"SLITRK3",-1.63994439627467,4.22650533616659,807.39513561205,9.39519110251131e-22,1.13433637481075e-19
"ARRDC4",1.0549814669681,4.94291098329468,806.988589515954,9.45671586887209e-22,1.13462859084211e-19
"DCUN1D2",1.34419328719102,4.66440674406498,798.45412605422,1.0877395930111e-21,1.29697745136858e-19
"XACT",1.26222886425124,4.51492287211113,776.301106483453,1.57498517697819e-21,1.83242366317881e-19
"PCBP1-AS1",1.12211871833499,4.73195745115691,765.77670198782,1.88452660330147e-21,2.17935284358905e-19
"DLC1",-1.6362903736226,3.41877041044352,752.838828864352,2.35783713425236e-21,2.67830766072441e-19
"SPOCK1",-1.75511530161974,4.06810848231247,751.962932956202,2.39401655739592e-21,2.7034079913135e-19
"CALCRL",-2.20513654133301,3.1508531739445,737.949679348116,3.06517976939498e-21,3.42106139727183e-19
"ENG",-4.0709087504099,1.6484179353727,735.259925052037,3.42643391670779e-21,3.80215328896182e-19
"DGKB",2.09183332676391,2.62681854730429,720.1062069046,4.22835244617817e-21,4.58597072933799e-19
"ACTG2",-1.89938287190302,2.79021256849398,713.966124981089,4.72889232213181e-21,5.04336366155357e-19
"CRYBB2P1",1.11338645292618,4.53581768047727,710.338061191934,5.05369312963017e-21,5.33053554997309e-19
"S100B",-4.41329767387087,1.6276113695863,704.993676584981,6.30400536891043e-21,6.57706473190073e-19
"CPED1",-4.66533613459133,1.66293122642376,705.124777314841,6.56901580384681e-21,6.81650791278093e-19
"GRHL3",-2.49390057091029,1.99484970591515,691.162739750194,7.25290905235947e-21,7.44534716501914e-19
"MECOM",-1.78561686361741,2.58090752279,690.767573838169,7.29137504309839e-21,7.44534716501914e-19
"MMP9",-2.68488642677805,2.83465300607269,679.508280635807,9.04617433275371e-21,9.09150657875356e-19
"GOLGA2P7",1.08203753428009,5.41498013146707,678.500826401183,9.21405992715363e-21,9.16488644671338e-19
"MXRA8",-1.36565578007695,4.54767807042642,677.481154759371,9.39741451915059e-21,9.27257230123981e-19
"SLIT3-AS2",2.87684367389782,2.48649077701423,676.315960162924,9.63194829581638e-21,9.43390364463199e-19
"LAMA4",-1.78621876956863,3.46771877060268,673.606297707332,1.01311749662282e-20,9.72440829133411e-19
"ADRA1D",-5.19989764426873,0.828218870502953,629.223795611866,1.2727674356553e-20,1.21558788369526e-18
"PRKCB",-1.80978113478744,2.7251005779234,660.25402847096,1.31667489828482e-20,1.25129742685018e-18
"CXCL12",2.00660019276822,2.63006889415548,652.475465614466,1.53780072455598e-20,1.44005661020981e-18
"IRS4",1.28880950018134,3.7731712637038,651.699826754558,1.56097732476449e-20,1.44341664612558e-18
"RHOU",1.06843766437249,4.52937330101737,642.3323425073,1.8857840162074e-20,1.71282502707749e-18
"CALB1",-1.7682337207533,3.15541105745784,642.226013387982,1.89025894135636e-20,1.71282502707749e-18
"CDON",-1.10934805848703,4.07672374828112,642.18479384726,1.89153985383355e-20,1.71282502707749e-18
"PCDH15",-2.83979177894158,2.40606908519507,634.374697911014,2.22393879362617e-20,1.97652560283526e-18
"VGLL3",-1.58553704922583,4.48601361991477,630.20566665062,2.41860636001187e-20,2.13538962896906e-18
"TMEM119",-2.50410828671643,2.29585655876185,628.932469160399,2.48741929216304e-20,2.18041041788374e-18
"TNFRSF19",-2.15052591177852,2.5313100035059,625.865591268113,2.6491735372993e-20,2.28054638544998e-18
"LINC02972",1.8551459656899,3.37567622277663,618.018825311431,3.12075046576235e-20,2.66262429738844e-18
"MICAL2",-1.90520902591426,2.8728496779085,616.091650169191,3.25077094893735e-20,2.74912114126653e-18
"C3AR1",1.17616565555358,3.96779675508787,611.240245511924,3.60297950049631e-20,3.00723467265338e-18
"CCT6P1",1.65832098795591,2.89038031438475,606.234910323192,4.01112671558005e-20,3.31903446374957e-18
"HEY2",-1.20544209339457,4.19440994028111,597.584839632436,4.83588634900195e-20,3.95040469114002e-18
"CP",-3.23769193832451,1.83018591348298,597.062007560605,4.93946555435115e-20,4.01792034944403e-18
"HTR2C",1.89668979087347,2.97362035565243,582.364062864434,6.76704396054536e-20,5.36805549217311e-18
"AFG3L1P",1.49515570670633,2.9551711069423,580.241703515243,7.09594525931463e-20,5.60579675485856e-18
"HS6ST2",-1.06555081783405,4.3510671750694,564.299276054697,1.01902707135146e-19,7.76280265425948e-18
"IL13RA2",1.7132197494234,2.7536444689911,563.891369056849,1.02897636805652e-19,7.80761238639568e-18
"SIX2",-4.02397823893441,1.03863634295496,566.879835516008,1.12260244211094e-19,8.4182027660952e-18
"CAMKV",1.25328830563161,4.08794617189648,555.298818238927,1.25568095659321e-19,9.30706846475666e-18
"NNAT",-5.10172393282415,0.827655169765388,529.639356752549,1.48441946285191e-19,1.08351332427255e-17
"PLXNA2",-1.2420651955957,3.80538692384286,546.152238210627,1.55771396094039e-19,1.13270586773381e-17
"PCDH11X",-1.40427643960147,3.39609974271557,544.993627543605,1.60132303716201e-19,1.16002257903393e-17
"ONECUT2",-1.90445547411851,3.0378066693245,541.017381833221,1.76096868251661e-19,1.26611669656447e-17
"EDNRA",-2.41724965261824,1.84925326983737,536.351893349783,1.97523737534638e-19,1.41487432442255e-17
"SOX21",-1.95704617950261,2.68570426134842,533.275864357853,2.12317851195792e-19,1.50400951638584e-17
"GAD2",-1.82368016539931,2.69644882559616,530.464884566415,2.27331120697871e-19,1.60443953089597e-17
"TM4SF18",1.30251883870323,4.18515931334414,527.806962260136,2.42539874360154e-19,1.70550841322047e-17
"EGR1",-1.2561443245948,3.68708155145341,516.324745598622,3.22434633222389e-19,2.22653872444971e-17
"GRM3",-1.60480795681566,3.33134828986646,513.744404277108,3.44027363820878e-19,2.36713021622559e-17
"LINC01206",3.02993538063563,1.97655365318929,512.069888438008,3.60773362581001e-19,2.46468549518415e-17
"HHIP",-1.39839732574659,3.31080143973168,509.184814798769,3.86080492831897e-19,2.62822241875671e-17
"SNHG17",1.02231002096134,4.00173893433336,503.863648005257,4.42173236248942e-19,2.96797189380103e-17
"EBF2",-4.94075740750505,1.31292432179353,500.129339003397,5.68349574162554e-19,3.69851077125375e-17
"LMO1",1.02031924588534,4.35508944989967,490.880337358653,6.19393922107545e-19,4.00498813272367e-17
"MSX2",-1.07491641933611,3.77842271426429,490.737395322317,6.21775405415745e-19,4.00498813272367e-17
"MSX1",-1.58103755687284,2.90783494776701,490.388801111449,6.2760957425127e-19,4.01607366563388e-17
"GAS6",-1.80036585773145,2.38828994754353,488.020015185737,6.68394072795429e-19,4.24872881306419e-17
"GOLGA6L9",1.96513943269315,2.61854665397398,481.876159403813,7.86916094012342e-19,4.9046844989464e-17
"COX19",1.14769189545503,4.18518838723216,481.546048486863,7.93446788190183e-19,4.92938446371746e-17
"SEPTIN7P14",1.3141290677101,3.27290626082479,478.177077713707,8.68689132939946e-19,5.37942751130586e-17
"MEOX1",-2.53068398529563,2.06489524726728,476.807841381677,9.03216570675457e-19,5.55738734206947e-17
"ZNF37BP",1.21998305981053,3.56058632733485,469.114256747458,1.11145409429216e-18,6.76806723911548e-17
"POU3F4",-8.00691458199947,0.12706367569692,449.711876353213,1.17150573909293e-18,7.07213700420346e-17
"SEMA5B",-2.41340926949999,2.48805183781071,462.433004296581,1.33801492205446e-18,8.01807202116893e-17
"EMILIN1",-2.19707426804374,2.67204593845534,462.348486135101,1.34073090524313e-18,8.01807202116893e-17
"GPRIN3",-2.07625527718575,2.47521759206499,460.775276925386,1.40095906025381e-18,8.35223946574298e-17
"PARP6",1.25640559318003,3.48362951978367,456.714205102211,1.56879626684328e-18,9.26651751833551e-17
"TNFRSF11B",-1.49188203061918,2.65865482889489,453.526605252949,1.71679792526863e-18,1.01096226292583e-16
"TLE2",-1.2514987765532,3.33174795622028,440.86427214421,2.46934965565455e-18,1.419284591006e-16
"KIRREL3",1.13943411161332,3.3145129258198,436.007429152348,2.84635273745434e-18,1.61184169619206e-16
"AMBN",-2.41275070526052,1.67517876396681,428.812097130708,3.53422128190022e-18,1.96249153312346e-16
"NKX2-5",8.0497950707976,0.16363729272764,413.248265550595,3.54734886697839e-18,1.96249153312346e-16
"DOK5",-1.15299636012196,3.6352802191948,427.189283569298,3.69815981968084e-18,2.03419982975396e-16
"MARCHF4",1.18962350078668,3.43029477319153,426.218124683765,3.80764270651527e-18,2.08843762962782e-16
"GLRA4",-1.27325061511284,3.40305632050838,422.788674765813,4.22259845960624e-18,2.30287564287105e-16
"ZBTB16",1.10830354190252,3.62337332451847,420.89668145783,4.47190679206199e-18,2.41823083625955e-16
"AJAP1",2.03910673518008,2.63069805763195,420.173232344767,4.57370661494961e-18,2.46633274964011e-16
"GTF2IP20",1.9257240508265,2.33333431260176,411.864316706695,5.90586041647376e-18,3.15807249066983e-16
"SFRP2",-1.31262528043512,2.92580091364008,409.650049910033,6.32308984943041e-18,3.35315900109159e-16
"ATP2B3",-4.01629969978385,0.688314506172646,410.228815913345,7.38413669098462e-18,3.86248697702539e-16
"CYP26A1",-4.91022935118514,0.821610463395399,399.040579622668,7.57197541533807e-18,3.94997858826752e-16
"TENT5A",-1.11501457713748,3.85109135512063,402.572039188567,7.8983952494174e-18,4.09798631359637e-16
"CNN1",-1.04195556571762,4.24895496167987,397.974345822395,9.14438919197887e-18,4.68119571515782e-16
"SLC4A4",-1.72428601520834,2.32477774709852,391.284192416327,1.13579147217725e-17,5.69289527190251e-16
"ADGRD1",-1.22204411951839,3.50030400306622,390.791288089917,1.15352049614946e-17,5.75172284794315e-16
"JCAD",-1.69479795891695,2.28856512049853,390.40700785332,1.16874676481699e-17,5.81254705808078e-16
"ST8SIA3",-2.26479750160111,1.27138249042522,388.883859174749,1.23383848444504e-17,6.057799842939e-16
"RGCC",-4.61192960020974,0.424020676342441,375.431007997447,1.44572281278808e-17,6.99081633176139e-16
"BAMBI",-2.10825377092551,2.07187291915235,382.459426958728,1.51934254316978e-17,7.29170470030757e-16
"MRPS31P5",1.96765951155469,1.90434398121379,380.611759004164,1.61607354892089e-17,7.6791494848105e-16
"FAM157A",1.40493970039082,2.55485536102646,379.419858463916,1.6800608129968e-17,7.94387375051714e-16
"CD38",-3.83835063204635,1.00353596876243,381.571182665423,1.7409384339735e-17,8.19137135220325e-16
"SHH",1.55186368908644,2.8397966029967,373.935095700012,2.02145747294331e-17,9.37341041258278e-16
"LHX1",-1.77121387747093,1.89172055560502,372.105200345783,2.15332532021052e-17,9.93687167598107e-16
"NTS",-1.6865999592572,2.3329093733469,371.736196351946,2.17963364160525e-17,1.00101500042813e-15
"KCNJ6",-4.89823439442977,-0.149990258812405,313.184088010162,2.22523095671912e-17,1.01951691351162e-15
"NELL1",-3.48884535632833,0.541473308326687,371.233594727933,2.52435227847741e-17,1.1402350750572e-15
"ITGB3",-6.03379110912508,-0.518581421828738,233.100170384646,2.68008302363168e-17,1.19929029847686e-15
"PROSER2",1.41914404219803,2.95192514412284,361.621032725128,3.09156793285174e-17,1.37700300712192e-15
"LINC01630",2.14848255710709,1.87937413013479,355.70036452914,3.81622835142908e-17,1.65372766732244e-15
"KCNIP1",-1.11611292522761,3.47723555871233,353.599477323556,4.10713563607048e-17,1.76781800012657e-15
"CTNNA2",-2.05211439773514,1.90150335342234,349.220390243378,4.81458852660324e-17,2.03580739967406e-15
"CNR1",-1.65375830311647,2.28211937124198,348.520279805837,4.93465212123048e-17,2.07742361340486e-15
"RUBCNL",-2.65710217175424,1.01380233794318,346.281948980014,5.4194996622567e-17,2.26169858731178e-15
"XPNPEP2",-2.5802721703969,0.946775548572084,345.666434083468,5.54325459113806e-17,2.30333026809691e-15
"HS3ST3B1",-1.76477868761157,2.99300282268985,344.783199410617,5.65240255939932e-17,2.34361062489824e-15
"BMPR1B",-1.09126324643723,3.16676527657898,344.556124491851,5.69935517145385e-17,2.35798537125861e-15
"RGS16",-1.35336648641196,2.55782022673727,344.367540862139,5.73942771053926e-17,2.36945793030585e-15
"CHST2",-1.02292828797253,3.7459615866346,344.268252118896,5.75946406814056e-17,2.37262729004494e-15
"SHD",1.4110107538195,3.87425085089221,342.582477031923,6.12787430816864e-17,2.5082474007231e-15
"CDH18",-1.43580099568007,2.6981826469904,339.395363527141,6.89637499362904e-17,2.79893680238259e-15
"NTRK2",-2.92501061236125,1.62322762297486,330.302641888017,9.77356695018567e-17,3.86055894532334e-15
"LINC01980",1.09145355632739,3.1584842922384,329.218578910526,1.01214773407809e-16,3.97345604316913e-15
"RASGEF1B",1.39513816770007,2.38685177855335,329.1017542919,1.01686162705502e-16,3.98381482746432e-15
"PPP2R2B",-1.03365335951931,3.70885215586928,324.147447963664,1.23042599907599e-16,4.72409758085235e-15
"COL26A1",-1.35181527536486,3.65255896640961,324.071443694394,1.23408355377511e-16,4.72597346740451e-15
"NPIPA6",1.27765511797098,3.45555756988997,320.935238320928,1.39460089464505e-16,5.22893620595725e-15
"FZD10",-5.36060675612476,-0.6081659243172,218.816509651216,1.46808019189327e-16,5.48302245987841e-15
"CES1P1",-1.52513171130701,2.49636662036608,316.802473318408,1.64147401272184e-16,6.03666218816496e-15
"FGFR3",-2.08237253544779,1.53857068468906,314.499464524322,1.80251289563561e-16,6.60359543082381e-15
"LINC02381",4.08887874272634,-0.153133527414316,300.642526867656,2.14672359008114e-16,7.74636330052401e-15
"NTRK3",1.17526987633683,3.48219283885109,305.468366165254,2.59137307667055e-16,9.21684482392905e-15
"NR2F1",-3.0757662489722,0.877258911361264,305.258071456069,2.69785038023604e-16,9.55546748143751e-15
"ARHGAP31",-1.12448163344584,3.0552642646312,303.283360741537,2.8351154799029e-16,9.9136087190703e-15
"PAG1",-1.17063436239842,2.79919398238941,301.322338671972,3.0748650246578e-16,1.06549068372483e-14
"LINC01002",1.43961709308828,2.66526837798836,299.3682549188,3.33559782094732e-16,1.1496134895642e-14
"UOX",1.87662090211271,1.77958748517108,298.968011962457,3.39546616111456e-16,1.1681498905899e-14
"NPIPA9",1.26988017046418,3.41262874040704,298.333999031174,3.48269032794744e-16,1.19601442264056e-14
"FOXC1",-1.35700386111597,2.54007528455378,297.296778138355,3.6379409996568e-16,1.24487617416064e-14
"TH",-1.18236571202803,3.84186269834114,295.1566778247,3.9808970450419e-16,1.35258903670211e-14
"FBLN2",-1.56806389614798,2.19440667351845,293.27979984026,4.31318177778879e-16,1.45774913007414e-14
"MDFI",-1.24502562838599,3.17098725728311,291.324573605133,4.68633253072097e-16,1.57554335538092e-14
"GTF2IP12",1.15769470431825,3.10857889984139,290.634333166304,4.82695060740555e-16,1.6199820071742e-14
"FOXP2",-1.87351261805343,1.55449192294011,290.290379178619,4.90637470163305e-16,1.64376396417539e-14
"BEX5",2.14453991195021,1.51308627488248,289.372274313065,5.10854196394476e-16,1.705542262293e-14
"ZFPM2",-2.40920690349434,1.02405587810731,286.490774436515,5.81888044561103e-16,1.91933072017861e-14
"LINC01001",1.6146383519046,2.20223183505304,285.509026801154,6.02793047279946e-16,1.98487446460259e-14
"PIP5K1B",-2.64867293821121,1.5943701656587,285.140719354595,6.14836832694579e-16,2.01761071405775e-14
"NPIPA1",1.2871154509394,3.28536714938183,284.890768557256,6.18995485922939e-16,2.02176418526921e-14
"ZBTB46",-1.02474165396174,3.14774213440913,284.880875160425,6.1926204143267e-16,2.02176418526921e-14
"CCT6P3",1.40928293052191,2.22184162075861,280.880432775702,7.38659222228525e-16,2.37521626283434e-14
"DCT",2.74927095077924,0.941497856106237,280.413179646658,7.65782751107136e-16,2.45012191216728e-14
"PDGFB",-1.95449771836163,1.25561337215507,277.686726220842,8.5357076561429e-16,2.70842941942108e-14
"DDR2",-1.98954949265409,1.43685841885852,275.480581977742,9.41789068867268e-16,2.96385651722048e-14
"SLC1A3",-1.42316412477108,2.80533536095293,274.417778377565,9.86051377204656e-16,3.07792329889395e-14
"NIBAN1",1.27891459670821,2.84646916149435,273.66234494214,1.02034050371168e-15,3.16437425682604e-14
"GOLGA6L10",2.07538368099879,1.20474812104692,273.362420321947,1.03806904764258e-15,3.21416314638623e-14
"ANGPT2",1.09409651985002,2.97899504886414,272.574278288044,1.071978646826e-15,3.30433527330514e-14
"VAV3",-1.11273460228995,3.08870263733565,272.566605633706,1.07235551141798e-15,3.30433527330514e-14
"ZFAND2A",1.04660397286249,3.37883823388492,270.306680457968,1.18891737653238e-15,3.64013506814867e-14
"GARIN1B",2.17131975761907,1.05873288783402,266.43637769014,1.42896173384611e-15,4.33361428193424e-14
"LFNG",-1.98813367209908,1.1008691317818,266.36113650097,1.43175829889127e-15,4.33524669776272e-14
